P_VTD,cntCBlk,Total,Anglo,AngleVAP,Hisp,HispVAP,VAP,BH,BHVAP,Black,BlackVAP,Other,OtherVAP
101,146,10380,1437,1217,6462,3747,6631,8774,5284,2476,1598,169,130
102,8,2109,390,339,1188,696,1344,1615,927,484,255,104,78
103,43,2509,1265,1122,712,490,1994,1161,802,466,317,83,70
104,32,1537,820,760,351,260,1296,549,416,202,158,168,120
105,314,11068,2963,2329,4974,2919,7238,7800,4696,2998,1842,305,213
106,214,7579,3201,2485,3282,1906,5104,4207,2496,983,615,171,123
107,43,662,367,289,251,157,481,272,172,26,16,23,20
108,28,2891,885,775,1508,973,2138,1888,1262,408,301,118,101
109,60,3862,1819,1585,1128,763,3017,1609,1090,507,337,434,342
110,126,7358,3365,2440,1759,1088,4954,3109,1909,1419,845,884,605
111,93,7405,2986,2559,1519,1071,5724,2489,1735,1021,692,1930,1430
112,36,3239,862,751,752,567,2501,1419,1052,697,500,958,698
113,153,14389,3712,3003,6015,3639,9678,8533,5159,2705,1582,2144,1516
114,23,338,131,114,110,75,271,205,155,98,81,2,2
115,1,0,0,0,0,0,0,0,0,0,0,0,0
116,5,0,0,0,0,0,0,0,0,0,0,0,0
117,102,11388,835,718,7658,4346,6965,10472,6182,2951,1898,81,65
118,24,2719,363,321,1542,947,1843,2287,1468,808,560,69,54
119,1,0,0,0,0,0,0,0,0,0,0,0,0
120,73,460,136,112,228,121,298,312,178,93,59,12,8
121,68,2542,136,122,1131,658,1585,2393,1452,1315,811,13,11
122,54,4744,497,458,1736,1052,3419,4175,2904,2507,1883,72,57
123,101,5186,2702,1863,1231,722,3397,1943,1160,751,453,541,374
124,204,7252,1802,1680,3081,1887,5375,5280,3551,2332,1718,170,144
125,3,1,0,0,0,0,1,1,1,1,1,0,0
126,138,6071,2004,1878,1799,1274,5078,3888,3039,2152,1797,179,161
127,1,0,0,0,0,0,0,0,0,0,0,0,0
128,3,2,0,0,2,2,2,2,2,0,0,0,0
129,72,5992,762,703,2349,1569,4628,5174,3881,2922,2351,56,44
130,36,3408,1144,1042,1604,1055,2580,2186,1473,605,433,78,65
131,1,2,2,2,0,0,2,0,0,0,0,0,0
132,61,4380,933,853,1646,1048,3335,3374,2422,1774,1391,73,60
133,46,4055,1438,1287,1890,1190,3041,2536,1691,676,520,81,63
134,3,0,0,0,0,0,0,0,0,0,0,0,0
135,92,5609,3090,2696,1792,1255,4519,2201,1582,457,354,318,241
136,111,4493,2519,1977,1061,675,3277,1665,1093,621,423,309,207
137,118,9824,5738,3992,2174,1315,6528,3517,2151,1428,869,569,385
138,1,0,0,0,0,0,0,0,0,0,0,0,0
139,120,12615,1996,1823,8524,5385,8734,10053,6474,1674,1176,566,437
140,47,5552,815,718,3827,2407,3821,4623,3015,874,652,114,88
141,15,1208,308,287,462,330,977,675,502,225,181,225,188
142,43,3105,620,570,2040,1450,2353,2321,1655,302,221,164,128
145,50,4711,1836,1384,1518,946,3223,2477,1559,1009,634,398,280
146,51,4492,2407,1829,999,639,3232,1570,1034,606,407,515,369
148,108,8545,3134,2528,2737,1698,6004,4610,2900,2003,1244,801,576
149,48,2198,1312,1190,665,471,1831,732,521,81,61,154,120
150,43,2885,2074,1653,500,308,2165,714,449,226,146,97,63
151,47,3571,1150,1035,1221,793,2727,2362,1647,1198,878,59,45
152,96,3808,2730,2473,590,475,3363,869,707,286,236,209,183
153,124,7380,2432,2096,2098,1438,5567,3623,2480,1605,1088,1325,991
154,87,3607,1250,1003,1240,812,2577,1946,1285,740,488,411,289
156,218,15637,3298,3045,10099,6599,11449,12025,8126,2095,1619,314,278
160,57,5336,1821,1387,2305,1400,3571,2978,1793,717,413,537,391
161,78,3927,1482,1113,1255,725,2553,2208,1277,1009,574,237,163
163,20,507,396,294,95,55,356,101,59,6,4,10,3
164,40,8504,1016,888,6439,4169,5850,7227,4755,878,635,261,207
200,99,6142,4633,4351,847,760,5732,1019,926,187,178,490,455
202,106,4517,3111,2838,774,666,4077,934,800,178,147,472,439
203,31,1851,694,534,904,503,1197,1094,615,219,118,63,48
205,52,5590,2354,2179,1553,1149,4674,2302,1746,792,620,934,749
206,45,1986,1242,1196,263,255,1919,317,304,59,54,427,419
207,122,7285,4534,3888,1344,1008,6001,1818,1369,535,389,933,744
208,41,9652,4740,4720,2065,2050,9588,2624,2600,599,590,2288,2268
209,26,5201,618,563,3819,2389,3491,4374,2750,619,386,209,178
210,72,2107,1879,1429,140,91,1574,164,108,25,18,64,37
211,59,3170,1494,1315,1152,781,2489,1470,1009,355,247,206,165
212,88,5688,4951,3521,282,179,3988,321,203,40,25,416,264
213,2,0,0,0,0,0,0,0,0,0,0,0,0
214,98,3474,3061,2353,249,201,2680,317,260,68,59,96,67
215,75,3696,1691,1382,1121,741,2806,1570,1080,476,355,435,344
216,57,5549,2134,1933,1680,1222,4513,2872,2148,1268,968,543,432
217,65,6209,1572,1393,3626,2370,4522,4053,2665,491,332,584,464
218,69,7691,4012,3707,1740,1361,6678,2547,2007,873,683,1132,964
219,73,5100,2387,1843,1596,995,3643,2276,1498,720,521,437,302
220,47,2160,1829,1465,194,123,1682,221,142,29,19,110,75
221,20,1517,1117,824,157,88,1042,209,112,55,24,191,106
222,61,5844,1866,1664,3011,1878,4235,3717,2356,772,509,261,215
223,15,2963,396,353,2297,1507,2045,2507,1639,240,152,60,53
224,6,1624,135,119,1277,743,998,1456,853,197,118,33,26
225,66,6425,3089,2534,1530,1039,4889,2370,1636,907,634,966,719
226,31,3286,967,853,1010,738,2583,1508,1100,525,380,811,630
227,47,2386,724,592,1021,561,1552,1465,822,486,273,197,138
228,79,2536,1854,1634,270,235,2216,349,304,81,71,333,278
229,49,2897,1719,1419,686,440,2201,973,630,297,195,205,152
231,25,3287,2762,2308,210,155,2685,260,189,50,34,265,188
232,104,8720,6723,4091,708,377,5226,837,452,141,83,1160,683
233,108,4625,3731,3002,444,326,3673,565,419,131,100,329,252
234,22,3134,2554,1723,210,119,2085,277,168,68,50,303,194
235,36,3415,2352,2169,678,559,3074,808,669,135,114,255,236
236,59,3523,2913,2416,345,280,2909,442,366,104,92,168,127
237,34,2437,2207,1744,147,101,1900,172,113,25,12,58,43
238,40,3923,2896,2469,374,309,3331,443,369,84,71,584,493
239,55,2818,2481,1954,229,158,2190,265,182,39,25,72,54
240,35,1232,1074,871,95,70,991,118,86,24,17,40,34
241,47,2058,1684,1435,277,208,1712,302,223,31,17,72,54
242,99,5930,4550,3996,949,742,5105,1091,858,152,122,289,251
243,33,2114,1728,1472,271,208,1769,312,245,51,43,74,52
244,123,5545,4296,2992,580,327,3730,745,438,181,115,504,300
245,19,1961,1520,1167,218,161,1473,280,199,67,39,161,107
246,49,2233,1797,1546,288,204,1866,331,236,53,36,105,84
247,16,940,857,635,63,42,692,65,44,2,2,18,13
248,81,5339,2142,1893,2760,1811,4014,3079,2026,371,243,118,95
249,38,3447,2806,2428,380,291,2932,476,370,106,83,165,134
250,152,6063,4942,4468,549,485,5471,646,560,109,85,475,443
251,98,4908,3506,2844,526,387,3901,635,459,132,83,767,598
252,44,3471,2493,2260,623,474,3002,803,592,195,124,175,150
253,61,4025,3474,2806,282,199,3207,328,234,50,37,223,167
254,65,5845,3903,3484,774,616,4994,1017,816,268,214,925,694
256,48,2542,2363,1666,115,69,1775,124,77,9,8,55,32
258,57,4040,2162,1925,1202,812,3283,1533,1063,359,261,345,295
259,51,3548,2645,2189,492,329,2816,681,466,204,145,222,161
260,50,6789,823,716,5130,3445,4722,5800,3886,750,488,166,120
262,75,7156,4837,4335,1025,849,6306,1197,987,188,149,1122,984
263,59,4235,2957,2585,749,594,3628,979,785,255,203,299,258
266,19,626,579,467,17,13,492,18,13,1,0,29,12
267,25,2502,1684,1435,478,351,2040,641,464,170,118,177,141
268,26,2478,887,793,917,637,1942,1330,934,462,318,261,215
273,78,3314,2798,2418,289,228,2827,338,270,53,45,178,139
274,73,3596,2595,2434,451,431,3396,507,485,67,64,494,477
275,81,4392,3306,3067,539,482,4041,623,551,90,75,463,423
277,32,7967,5023,4995,928,920,7917,1113,1104,200,199,1831,1818
301,70,1841,1229,1091,397,326,1590,446,368,64,53,166,131
302,66,4118,3190,2450,576,384,3062,682,460,112,80,246,152
303,36,3334,2664,2122,500,344,2588,534,371,36,27,136,95
304,60,5692,4345,2958,619,398,3809,719,467,110,73,628,384
305,1,9,7,5,0,0,7,1,1,1,1,1,1
306,97,3264,2923,2349,231,140,2559,253,154,24,15,88,56
307,89,1794,1586,1186,125,79,1316,129,83,4,4,79,47
308,329,5622,5295,4283,521,350,4787,561,375,43,28,189,129
309,61,3566,2360,1884,846,574,2712,978,670,153,104,228,158
310,132,5943,3571,3036,1871,1315,4722,2073,1458,236,157,299,228
311,72,6452,4065,4007,912,880,6346,1109,1071,215,208,1278,1268
312,74,2756,2182,1824,394,278,2231,422,295,31,18,152,112
313,12,582,407,393,64,62,566,69,67,5,5,106,106
